dtfk4,ft4,dtfk7,dtfk10,dtsk10,dtfk11,ft12,class
78,109,62,141,78,94,31,1
62,32,93,47,79,110,78,1
78,109,62,141,78,94,31,1
62,313,79,16,47,62,234,1
62,16,437,32,62,47,172,1
62,313,250,16,47,62,234,1
78,109,79,63,94,63,16,1
47,62,93,62,47,47,62,1
78,109,62,63,94,63,16,1
78,172,78,594,93,109,31,1
78,15,31,94,47,110,78,1
78,172,78,594,93,109,31,1
63,141,62,47,63,93,93,1
47,47,94,78,62,16,94,1
63,141,78,47,63,93,93,1
78,94,78,78,94,78,78,1
78,16,79,47,47,78,46,1
78,94,78,78,94,78,78,1
63,172,16,16,62,141,16,1
109,16,47,94,93,94,62,1
63,172,78,16,62,141,16,1
93,16,31,15,78,16,31,1
110,78,62,62,62,78,47,1
93,16,31,15,78,16,31,1
62,16,78,15,78,94,16,1
78,32,31,46,47,94,109,1
62,16,94,15,78,94,16,1
78,63,78,31,93,94,31,1
109,31,109,62,79,75,93,1
78,63,109,31,93,94,31,1
62,62,78,219,78,31,94,1
250,63,63,78,78,15,78,1
62,62,62,219,78,31,94,1
16,63,62,47,93,172,16,1
110,15,110,78,78,78,94,1
16,63,78,47,93,172,16,1
78,156,78,156,110,156,125,1
78,15,16,79,62,203,141,1
78,156,78,156,110,156,125,1
63,62,62,31,62,78,156,1
47,47,203,47,62,156,94,1
63,62,32,31,62,78,156,1
93,32,78,656,63,32,782,1
78,15,47,78,141,110,62,1
93,32,703,656,63,32,782,1
109,79,47,141,109,140,203,2
125,63,94,78,63,109,63,2
109,79,125,141,109,140,203,2
94,156,109,156,62,94,47,2
47,47,47,63,63,79,62,2
94,156,63,156,62,94,47,2
63,15,63,31,62,63,0,1
110,15,79,63,62,63,93,1
63,15,141,31,62,63,0,1
94,78,125,94,78,94,78,1
93,16,141,172,79,265,109,1
94,78,94,94,78,94,78,1
94,0,78,109,94,94,594,1
110,78,78,63,109,94,78,1
94,0,47,109,94,94,594,1
141,265,15,46,985,203,172,1
172,250,94,94,109,16,282,1
141,265,141,46,985,203,172,1
94,78,109,78,234,234,94,1
94,16,94,78,78,156,78,1
94,78,125,78,234,234,94,1
94,141,62,63,78,32,78,2
78,172,47,15,78,31,63,2
94,141,94,63,78,32,78,2
62,391,78,297,235,297,282,1
94,47,16,78,94,172,141,1
62,391,125,297,235,297,282,1
63,15,46,94,94,109,47,1
78,63,78,78,62,94,78,1
63,15,62,94,94,109,47,1
78,31,62,16,359,218,47,2
62,16,31,62,94,94,156,2
78,31,125,16,359,218,47,2
118,53,31,156,78,110,343,1
110,15,219,79,93,94,125,1
118,53,156,156,78,110,343,1
94,15,62,78,79,63,16,1
78,79,78,63,125,78,172,1
94,15,110,78,79,63,16,1
94,31,93,125,109,62,94,2
94,62,31,78,63,94,78,2
94,31,109,125,109,62,94,2
90,63,89,47,78,69,78,2
78,31,89,58,150,78,62,2
90,63,11,47,78,69,78,2
109,63,46,265,78,141,32,1
94,31,172,31,79,156,46,1
109,63,32,265,78,141,32,1
78,156,78,47,94,94,16,1
78,16,109,63,79,78,93,1
78,156,94,47,94,94,16,1
63,47,62,78,79,79,15,1
62,32,94,47,47,109,47,1
63,47,78,78,79,79,15,1
78,250,47,62,344,140,125,1
46,79,140,62,78,16,78,1
78,250,109,62,344,140,125,1
109,63,79,110,78,156,47,2
156,16,109,78,63,110,94,2
109,63,93,110,78,156,47,2
78,234,63,78,78,63,828,1
62,188,78,62,62,78,62,1
78,234,78,78,78,63,828,1
62,110,125,78,63,125,32,1
78,31,78,63,63,125,93,1
62,110,109,78,63,125,32,1
109,32,63,31,375,156,16,1
94,93,94,63,78,78,109,1
109,32,62,31,375,156,16,1
93,94,141,141,63,94,16,1
78,31,94,234,110,110,93,1
93,94,109,141,63,94,16,1
93,32,63,16,78,94,15,2
62,16,47,47,63,94,172,2
93,32,63,16,78,94,15,2
78,219,63,547,1015,79,203,2
62,63,79,31,62,93,62,2
78,219,94,547,1015,79,203,2
109,250,125,94,110,47,265,1
78,219,62,93,63,78,94,1
109,250,94,94,110,47,265,1
63,93,78,78,73,78,15,1
47,16,62,62,63,140,110,1
63,93,94,78,73,78,15,1
47,391,78,94,78,109,16,1
78,141,31,63,78,125,94,1
47,391,110,94,78,109,16,1
93,485,78,47,78,47,16,1
109,47,32,62,62,125,78,1
93,485,125,47,78,47,16,1
31,125,62,63,93,78,172,1
79,46,78,62,63,78,62,1
31,125,62,63,93,78,172,1
79,128,63,47,109,78,15,1
78,47,79,78,78,79,94,1
79,128,94,47,109,78,15,1
93,63,63,47,141,78,78,1
79,62,94,47,63,78,110,1
93,63,125,47,141,78,78,1
40,271,47,47,63,125,15,1
78,32,62,63,63,312,94,1
40,271,62,47,63,125,15,1
78,140,47,125,63,63,125,1
63,94,78,62,63,78,62,1
78,140,63,125,63,63,125,1
109,31,94,0,453,140,46,1
125,15,31,93,78,829,78,1
109,31,94,0,453,140,46,1
63,78,78,32,110,78,0,1
78,61,63,78,63,62,94,1
63,78,94,32,110,78,0,1
125,63,94,63,109,78,47,2
94,31,16,78,78,109,94,2
125,63,94,63,109,78,47,2
93,188,110,78,62,78,125,1
78,0,156,78,63,62,94,1
93,188,156,78,62,78,125,1
47,109,31,16,94,157,31,1
344,94,0,78,78,0,156,1
47,109,125,16,94,157,31,1
78,203,78,234,93,94,47,1
62,157,78,281,93,94,94,1
78,203,94,234,93,94,47,1
78,79,78,63,79,63,31,1
15,94,16,31,63,16,109,1
78,79,625,63,79,63,31,1
94,31,78,31,79,125,15,2
78,32,62,63,93,79,78,2
94,31,78,31,79,125,15,2
187,109,110,94,63,94,157,1
78,141,125,93,62,16,172,1
187,109,141,94,63,94,157,1
79,15,109,47,78,94,0,2
78,32,31,63,78,78,78,2
79,15,62,47,78,94,0,2
47,62,62,94,156,63,234,2
93,47,110,32,47,62,63,2
47,62,62,94,156,63,234,2
94,62,94,78,62,141,109,2
93,32,16,47,46,109,78,2
94,62,79,78,62,141,109,2
62,63,63,109,94,78,78,2
63,78,78,62,63,78,93,2
62,63,62,109,94,78,78,2
94,125,109,94,94,125,110,1
94,47,110,47,78,156,94,1
94,125,125,94,94,125,110,1
78,47,93,15,78,47,110,2
16,93,609,31,78,31,109,2
78,47,31,15,78,47,110,2
62,157,79,141,79,79,63,2
93,0,125,94,78,78,78,2
62,157,140,141,79,79,63,2
78,125,78,93,78,78,46,1
94,31,110,78,47,94,63,1
78,125,93,93,78,78,46,1
63,94,63,156,109,78,188,2
62,63,62,63,78,63,62,2
63,94,63,156,109,78,188,2
94,47,94,15,94,250,16,1
125,0,62,62,93,125,93,1
94,47,141,15,94,250,16,1
156,0,63,78,62,31,93,2
15,78,62,94,63,15,63,2
156,0,125,78,62,31,93,2
78,16,78,47,63,62,78,1
78,78,78,78,63,78,109,1
78,16,140,47,63,62,78,1
297,16,125,157,125,94,94,1
93,32,109,110,79,109,78,1
297,16,47,157,125,94,94,1
110,109,125,156,125,109,110,1
125,47,46,79,94,78,94,1
110,109,141,156,125,109,110,1
78,62,94,63,94,141,93,2
47,78,78,94,46,63,125,2
78,62,78,63,94,141,93,2
109,31,15,94,62,47,47,1
31,156,47,31,62,94,109,1
109,31,78,94,62,47,47,1
110,31,63,125,93,47,16,1
16,110,0,47,79,0,78,1
110,31,250,125,93,47,16,1
63,172,78,40,106,47,94,1
79,62,94,47,31,78,176,1
63,172,78,40,106,47,94,1
